挨	ái	to endure, to suffer
学说	xué shuō	theory, doctrine
学位	xué wèi	academic degree
血压	xuè yā	blood pressure
循环	xún huán	circle, loop, to cycle, to circulate
巡逻	xún luó	to patrol
寻觅	xún mì	to look for
熏陶	xūn táo	to nurture, to influence positively
循序渐进	xún xù jiàn jìn	step by step
押金	yā jīn	deposit, down payment
亚军	yà jūn	runner-up, second place
压迫	yā pò	to oppress, to repress
压岁钱	yā suì qián	money given to children during Spring Festival
压缩	yā suō	compression, to compress, to squeeze, to reduce
压抑	yā yì	to constrain, to oppress, oppressive, stifling, depressing
压榨	yā zhà	to press, to squeeze, to extract juice by squeezing
压制	yā zhì	to suppress, to inhibit, to stifle
演变	yǎn biàn	to evolve, to develop
掩盖	yǎn gài	to conceal, to cover up, to hide
眼光	yǎn guāng	vision, foresight
沿海	yán hǎi	coastal, along the coast
严寒	yán hán	freezing, very cold
掩护	yǎn hù	protection, cover, to screen, to shield, to cover
烟花爆竹	yān huā bào zhú	fireworks and crackers
演讲	yǎn jiǎng	to lecture, to make a speech
严禁	yán jìn	to strictly prohibit
严峻	yán jùn	serious, grim severe
严厉	yán lì	strict, severe
言论	yán lùn	speech, expression of opinion
严密	yán mì	strict, tight, rigorous
淹没	yān mò	to submerge, to drown, to flood out
延期	yán qī	to delay, to postpone, to defer
炎热	yán rè	burning hot, blistering hot
眼色	yǎn sè	wink, meaningful glance
延伸	yán shēn	to extend, to stretch, to spread
眼神	yǎn shén	expression in eyes, eyesight
岩石	yán shí	rock
掩饰	yǎn shì	to conceal, to cover up
验收	yàn shōu	to verify and accept, to check on receipt
厌恶	yàn wù	to hate, to detest, to loath
演习	yǎn xí	exercise, practice, maneuver
眼下	yǎn xià	now, at present
延续	yán xù	to continue, to last
演绎	yǎn yì	to deduce, to infer
验证	yàn zhèng	to test and verify
演奏	yǎn zòu	to perform music, to play (music)
样品	yàng pǐn	sample, specimen
氧气	yǎng qì	oxygen
摇摆	yáo bǎi	to sway, to swing
要不然	yào bu rán	otherwise
要点	yào diǎn	main point, essential
摇滚	yáo gǔn	Rock ’n’ Roll
摇晃	yáo huàng	to rock, to shake, to sway
遥控	yáo kòng	remote control
要命	yào mìng	extremely, serious
要素	yào sù	essential factor, key element
咬牙切齿	yǎo yá qiè chǐ	to grind one's teeth in anger
谣言	yáo yán	rumor
耀眼	yào yǎn	dazzling, glaring
遥远	yáo yuǎn	faraway, remote, distant
野蛮	yě mán	barbarous, uncivilized, wild
野心	yě xīn	ambition
亦	yì	also
翼	yì	wing, flank, to assist; to help (an emperor)
以便	yǐ biàn	so that, in order to
遗产	yí chǎn	heritage, legacy
异常	yì cháng	exceptional, unusual, abnormal
遗传	yí chuán	heredity, inheritance, to inherit, to transmit
依次	yī cì	in turn, in proper order
一度	yí dù	once, for some time
一帆风顺	yì fān fēng shùn	smooth
一贯	yí guàn	consistent, constant, all along
疑惑	yí huò	doubt, to doubt
依旧	yī jiù	as before, still like before
依据	yī jù	basis, grounds, according to, based on
一举两得	yì jǔ liǎng dé	hit two birds with one stone
依靠	yī kào	backing, support, to rely on, to depend on
依赖	yī lài	to depend on, to be dependent on
毅力	yì lì	perseverance, willpower
意料	yì liào	anticipation, expectation, to anticipate, to expect
一流	yī liú	best, top quality
遗留	yí liú	to leave behind, to hand down (to next generation)
一律	yí lǜ	same, uniformly, all, without exception
以免	yǐ miǎn	in order to avoid, for fear that
一目了然	yí mù liǎo rán	obvious
仪器	yí qì	instrument, apparatus
毅然	yì rán	firmly, resolutely
一如既往	yì rú jì wǎng	as before, just as in the past
衣裳	yī shang	clothes
遗失	yí shī	to lose, to miss
仪式	yí shì	ceremony, ritual
意识	yì shí	consciousness, awareness, to be aware of
一丝不苟	yì sī bù gǒu	meticulous, not one hair out of place
意图	yì tú	intention, purpose
依托	yī tuō	to rely on, to depend on
以往	yǐ wǎng	in the past, formerly
意味着	yì wèi zhe	to mean, to imply, to signify
一向	yí xiàng	always, all along, constantly
意向	yì xiàng	intention, purpose, disposition
一再	yí zài	repeatedly, again and again
以至	yǐ zhì	down to, up to, to such an extent as to
以致	yǐ zhì	as a result, so that, consequently
意志	yì zhì	will, determination
抑制	yì zhì	to inhibit, to restrain, to suppress
隐蔽	yǐn bì	to conceal, to hide
引导	yǐn dǎo	introduction, to guide, to lead, to direct
隐患	yǐn huàn	hidden danger
隐瞒	yǐn mán	to conceal, to hide, to cover up
阴谋	yīn móu	plot, conspiracy, machination
引擎	yǐn qíng	engine
饮食	yǐn shí	food and drink
印刷	yìn shuā	printing, to print
隐私	yǐn sī	one's secrets, private matters
音响	yīn xiǎng	sound, stereo, acoustics
引用	yǐn yòng	to quote, to cite
隐约	yǐn yuē	indistinct, faint
应酬	yìng chou	social niceties, business dinner
婴儿	yīng ér	baby, infant
盈利	yíng lì	profit, gain
迎面	yíng miàn	head-on, face to face
英明	yīng míng	wise, brilliant
荧屏	yíng píng	TV screen
应邀	yìng yāo	on invitation, at sbd.'s invitation
英勇	yīng yǒng	bravery, heroic, brave, valiant
用功	yòng gōng	diligent, hardworking
永恒	yǒng héng	eternity, eternal, everlasting
拥护	yōng hù	advocacy, to support, to stand up for, to advocate
用户	yòng hù	user, consumer
庸俗	yōng sú	vulgar, philistine
涌现	yǒng xiàn	to emerge in large numbers, to spring up
拥有	yōng yǒu	to have, to possess
勇于	yǒng yú	to dare to, to have the courage to
踊跃	yǒng yuè	to leap, to jump, enthusiastic, eager
诱惑	yòu huò	temptation, enticement, to entice, to lure, to tempt
油腻	yóu nì	oily, greasy
油漆	yóu qī	oil paints, lacquer, to paint
犹如	yóu rú	similar to, as if, just lik
优胜劣汰	yōu shèng liè tài	survival of the fittest
有条不紊	yǒu tiáo bù wěn	methodically, in an orderly way
优先	yōu xiān	priority, preferential
优异	yōu yì	exceptional, outstanding
忧郁	yōu yù	sullen, heavyhearted, melancholy
优越	yōu yuè	superiority, superior, advantageous
幼稚	yòu zhì	childish, immature, naive
愈	yù	to recover, the more ... the more
愚蠢	yú chǔn	stupid, foolish, silly
预料	yù liào	to anticipate, to predict, to expect
舆论	yú lùn	public opinion
愚昧	yú mèi	ignorance, ignorant, fatuous
渔民	yú mín	fisherman
预期	yù qī	to expect, to anticipate, expected
与日俱增	yǔ rì jù zēng	to increase steadily
羽绒服	yǔ róng fú	down garment
预赛	yù sài	preliminary competition, heats
预算	yù suàn	budget
欲望	yù wàng	desire, longing, appetite
预先	yù xiān	beforehand, prior
预言	yù yán	prophecy, to predict
寓言	yù yán	fable
予以	yǔ yǐ	to give, to grant
预兆	yù zhào	omen, portent
原告	yuán gào	plaintiff
原理	yuán lǐ	principle, theory
园林	yuán lín	garden, park
圆满	yuán mǎn	satisfactory, perfect
源泉	yuán quán	source, fountain, spring
原始	yuán shǐ	original, primitive, firsthand
元首	yuán shǒu	head of state
元素	yuán sù	element, basic element
冤枉	yuān wang	to treat sbd. unjustly, to do sbd. wrong, not worth the effort, not worthwhile
原先	yuán xiān	former, original
元宵节	Yuán xiāo jié	Lantern festival
岳父	yuè fù	wife's father
乐谱	yuè pǔ	musical score, notation
约束	yuē shù	restriction, constraint, to restrict, to limit to
熨	yùn	to iron
蕴藏	yùn cáng	to hold in store, to contain
酝酿	yùn niàng	to brew, to ferment, to incubate (used in abstract way)
运算	yùn suàn	operation (mathematical), to calculate
运行	yùn xíng	to be in motion, to run
孕育	yùn yù	gestation, to be pregnant, to gestate
砸	zá	to smash, to pound, to fail
咋	zǎ	why, how
杂技	zá jì	acrobatics
杂交	zá jiāo	hybrid, to hybridize, to cross
宰	zǎi	to butcher, to slaughter
在乎	zài hu	to care about, to mind, to be determined by
再接再厉	zài jiē zài lì	to make persistent efforts, to double one's efforts
灾难	zāi nàn	disaster, catastrophe
栽培	zāi péi	cultivation, planting, to grow, to cultivate
在意	zài yì	to care about, to take to heart
攒	zǎn	to accumulate, to hoard, to save (money)
暂且	zàn qiě	for now, for the moment, temporarily
赞叹	zàn tàn	to gasp in admiration, highly praise
赞同	zàn tóng	to agree with, to approve of
赞扬	zàn yáng	to praise, to commend, to speak highly of
赞助	zàn zhù	assistance, support, to support, to assist, to sponsor
造反	zào fǎn	to rebel, to revolt
遭受	zāo shòu	to suffer, to be subject to
糟蹋	zāo tà	to waste, to wreck, to ruin, to spoil, to insult
造型	zào xíng	modeling, molding, to model, to mold
遭殃	zāo yāng	to go through disaster, to suffer a calamity
噪音	zào yīn	noise, rumble
遭遇	zāo yù	to meet with (sth. unfortunate), to encounter
责怪	zé guài	to blame, to rebuke
贼	zéi	thief
赠送	zèng sòng	to present as a gift
增添	zēng tiān	to add, to increase
渣	zhā	dregs, sediment, residue
扎	zhā	to prick, to push a needle into
眨	zhǎ	to wink, to blink
诈骗	zhà piàn	to defraud, to swindle
扎实	zhā shi	strong, sturdy, robust
债券	zhài quàn	bond, debenture
摘要	zhāi yào	summary, brief
斩钉截铁	zhǎn dīng jié tiě	to be resolute and decisive
战斗	zhàn dòu	fight, battle, to fight, to battle
沾光	zhān guāng	to benefit from association with sbd.
占据	zhàn jù	to occupy, to hold
占领	zhàn lǐng	to capture, to occupy
战略	zhàn lüè	strategy
展示	zhǎn shì	show, exhibition, demonstration, to show, to reveal, to display
战术	zhàn shù	tactics
展望	zhǎn wàng	outlook, prospect, to look ahead
展现	zhǎn xiàn	to unfold, to emerge, to come out
崭新	zhǎn xīn	brand new
瞻仰	zhān yǎng	look at with reverence
战役	zhàn yì	battle, military campaign
占有	zhàn yǒu	to own, to possess
障碍	zhàng ài	barrier, obstacle, obstruction
长辈	zhǎng bèi	elder generation
章程	zhāng chéng	statute, rule
帐篷	zhàng peng	tent
照料	zhào liào	to take care of
着迷	zháo mí	to be fascinated, to be captivated
朝气蓬勃	zhāo qì péng bó	to be full of youthful energy
招收	zhāo shōu	to hire, to recruit
招投标	zhāo tóu biāo	bidding, tender
照样	zhào yàng	in the same way as usual, as before
照耀	zhào yào	shine, illuminate
照应	zhào yìng	to take care of, to look after
沼泽	zhǎo zé	swamp, marsh, wetlands
折	zhé	to break, to bend, to fold, to discount
遮挡	zhē dǎng	to shelter from
折磨	zhé mó	torment, to torment
折腾	zhē teng	to do sth. over and over again, to toss about (sleeplessly)
阵地	zhèn dì	front, position
镇定	zhèn dìng	cool, calm
振奋	zhèn fèn	to inspire, to stimulate
珍贵	zhēn guì	precious, valuable
震惊	zhèn jīng	to shock, to astonish
镇静	zhèn jìng	calm, cool, composed
阵容	zhèn róng	line-up (sports), troop arrangement
侦探	zhēn tàn	detective
珍稀	zhēn xī	rare and precious
真相	zhēn xiàng	actual facts, truth
振兴	zhèn xīng	to develop, to promote, to vitalize
镇压	zhèn yā	suppression, to suppress, to put down
真挚	zhēn zhì	sincerity, sincere, cordial
珍珠	zhēn zhū	pearl
斟酌	zhēn zhuó	to consider, to deliberate, to weigh
正当	zhèng dāng	honest, fair, sensible, just when
争端	zhēng duān	controversial issue, point in dispute
整顿	zhěng dùn	to consolidate, to reorganize, to tidy up
争夺	zhēng duó	to fight for, to contend for
蒸发	zhēng fā	evaporation, to evaporate
征服	zhēng fú	to conquer, to subdue
正负	zhèng fù	positive and negative
正规	zhèng guī	regular, according to standards
正经	zhèng jing	decent, honourable
争气	zhēng qì	to try to make a good showing, be determined not to fall short
正气	zhèng qì	healthy atmosphere, righteousness
政权	zhèng quán	regime, political power
证实	zhèng shí	to confirm, to verify
征收	zhēng shōu	to levy, to impose, to collect
证书	zhèng shū	credentials, certificate
争先恐后	zhēng xiān kǒng hòu	to strive to be the first and fear to be the last
争议	zhēng yì	dispute, controversy
正义	zhèng yì	justice, just, righteous
正月	zhēng yuè	first month of the lunar year
挣扎	zhēng zhá	to struggle, to agonize over
郑重	zhèng zhòng	serious, solemn
症状	zhèng zhuàng	symptom
枝	zhī	branch Measure, for sticks, rods, pencils, etc.
治安	zhì ān	public security, law and order
值班	zhí bān	to be on duty, to work a shift
指标	zhǐ biāo	norm, index, target
直播	zhí bō	live broadcast
制裁	zhì cái	sanctions, punishment, to impose sanction against, to punish
支撑	zhī chēng	to support, to prop up
支出	zhī chū	expense, to spend, to expend
致辞	zhì cí	to make a speech, to address
制订	zhì dìng	to work out, to formulate
指定	zhǐ dìng	to appoint, to designate, to assign
脂肪	zhī fáng	fat (body)
制服	zhì fú	uniform, to subdue, to bring under control
指甲	zhǐ jia	fingernail
知觉	zhī jué	perception, consciousness
治理	zhì lǐ	to govern, to administer
智力	zhì lì	intelligence
致力于	zhì lì yú	to devote to, to dedicate to
指令	zhǐ lìng	order, instruction
滞留	zhì liú	stand still, to detain
支流	zhī liú	minor aspects, tributary (river)
殖民地	zhí mín dì	colony
指南针	zhǐ nán zhēn	compass
智能	zhì néng	intelligence, brainpower, intelligent
职能	zhí néng	function, role
支配	zhī pèi	to control, to dominate
志气	zhì qì	aspiration, ambition, spirit
智商	zhì shāng	IQ
指示	zhǐ shì	instruction, to instruct, to point out
致使	zhì shǐ	to cause, to result in
指望	zhǐ wàng	hope, to hope for, to expect, to count on
职位	zhí wèi	position, post, office
职务	zhí wù	post, job, duties
支援	zhī yuán	to support, to provide assistance
制约	zhì yuē	restriction, to restrict, to condition
指责	zhǐ zé	to criticize, to denounce, to accuse
制止	zhì zhǐ	to curb, to stop, to prevent
支柱	zhī zhù	pillar, backbone, mainstay
知足常乐	zhī zú cháng lè	to be happy with what one has
忠诚	zhōng chéng	loyalty, loyal, devoted
终点	zhōng diǎn	destination, end point, terminal
中断	zhōng duàn	to break off, to interrupt, to discontinue
终究	zhōng jiū	in the end, after all
中立	zhōng lì	neutrality, neutral
肿瘤	zhǒng liú	tumor
终年	zhōng nián	age at death, throughout the year
终身	zhōng shēn	lifelong, all one's life
忠实	zhōng shí	faithful, trustworthy
众所周知	zhòng suǒ zhōu zhī	as everyone knows
衷心	zhōng xīn	wholehearted, heartfelt
重心	zhòng xīn	center of gravity, central core
中央	zhōng yāng	center, central authorities, central
终止	zhōng zhǐ	to stop, to end
种子	zhǒng zi	seed
种族	zhǒng zú	race, ethnicity
州	zhōu	province, state (e.g. of US)
舟	zhōu	boat
粥	zhōu	porridge
周边	zhōu biān	periphery, rim
周密	zhōu mì	careful, thorough
周年	zhōu nián	anniversary
周期	zhōu qī	period, cycle
皱纹	zhòu wén	wrinkle
昼夜	zhòu yè	day and night, 24 hours
周折	zhōu zhé	complication, setback
周转	zhōu zhuǎn	turnover, to circulate, to revolve
株	zhū	tree trunk, tree root, plant Measure, for trees or plants
拄	zhǔ	to lean on (a stick)
主办	zhǔ bàn	to organize, to sponsor, to host
主导	zhǔ dǎo	to lead, to manage, leading, predominant
主管	zhǔ guǎn	person in charge, boss, to be in charge of
助理	zhù lǐ	assistant
主流	zhǔ liú	main stream (of river), main aspect of a matter
逐年	zhú nián	year after year
主权	zhǔ quán	sovereignty
注射	zhù shè	injection, to inject, to shoot
注视	zhù shì	to watch attentively, to gaze at
注释	zhù shì	annotation, note, to annotate, to comment
助手	zhù shǒu	assistant, helper
主题	zhǔ tí	topic, subject (e-mail)
诸位	zhū wèi	everyone, Ladies and Gentlemen
铸造	zhù zào	casting, founding, to cast, to found
驻扎	zhù zhā	to station (troops)
住宅	zhù zhái	residence, tenement
注重	zhù zhòng	to emphasize, to attach importance to
著作	zhù zuò	literary work, book, writings, to write
拽	zhuài	to drag, to haul
专长	zhuān cháng	specialty, special skill
专程	zhuān chéng	special-purpose trip
转达	zhuǎn dá	to pass on, to convey, to communicate
传记	zhuàn jì	biography
专科	zhuān kē	specialized subject, branch
专利	zhuān lì	patent
转让	zhuǎn ràng	to transfer, to make over
专题	zhuān tí	special topic
砖瓦	zhuān wǎ	tiles and bricks
转移	zhuǎn yí	metastasis, to shift, to divert, to transfer
转折	zhuǎn zhé	turn, to turn in the course of an event
幢	zhuàng	Measure, for houses, buildings, etc.
装备	zhuāng bèi	equipment, to equip, to outfit
壮观	zhuàng guān	spectacular, magnificent, imposing, grand
壮丽	zhuàng lì	magnificence, magnificent, majestic, glorious
壮烈	zhuàng liè	brave, heroic
装卸	zhuāng xiè	to load or unload, to assemble or disassemble
庄严	zhuāng yán	solemn, dignified, stately
庄重	zhuāng zhòng	serious, grave, solemn
追悼	zhuī dào	to grieve for, to pay the last tribute to
追究	zhuī jiū	to investigate, to look into
准则	zhǔn zé	norm, standard, criterion
琢磨	zhuó mó	to ponder, to carve and polish
着手	zhuó shǒu	to set out, to start, to put one's hand to it
着想	zhuó xiǎng	to consider (other people's needs)
卓越	zhuó yuè	excellent, outstanding, distinguished
着重	zhuó zhòng	to stress, to put emphasis on
自卑	zì bēi	to feel inferior, to abase oneself
资本	zī běn	capital
资产	zī chǎn	property, assets
子弹	zǐ dàn	bullet, cartridge
自发	zì fā	spontaneous
自力更生	zì lì gēng shēng	to rely on your strengths, to be self-reliant
自满	zì mǎn	complacent, self-satisfied
字母	zì mǔ	letter (alphabet)
资深	zī shēn	senior, deeply qualified
姿态	zī tài	posture, gesture, attitude, bearing
滋味	zī wèi	taste, flavour
滋长	zī zhǎng	to grow, to develop
资助	zī zhù	support, patronage, to sponsor, to subsidize, to give financial assistance
自主	zì zhǔ	autonomy, independence, to decide for oneself
总而言之	zǒng ér yán zhī	in short, in a word
总和	zǒng hé	sum
纵横	zòng héng	with great ease, freely, vertically and horizontal
踪迹	zōng jì	trail, trace, footprint
棕色	zōng sè	brown
宗旨	zōng zhǐ	objective, aim, purpose
揍	zòu	to beat up, to break to pieces
走廊	zǒu láng	corridor, aisle, piazza
走漏	zǒu lòu	to leak out, to divulge
走私	zǒu sī	smuggling, to smuggle
组	zǔ	group, team, to organize, to form
阻碍	zǔ ài	to obstruct, to hinder, to block
祖父	zǔ fù	grandfather (paternal)
阻拦	zǔ lán	to stop, to obstruct
租赁	zū lìn	to lease, to rent, to hire
阻挠	zǔ náo	to thwart, to obstruct
足以	zú yǐ	enough to, sufficient to
钻石	zuàn shí	diamond
钻研	zuān yán	to study in depth, to dig into
嘴唇	zuǐ chún	lip
遵循	zūn xún	to follow, to abide by
尊严	zūn yán	dignity, honour
作弊	zuò bì	to cheat, to practice fraud
做东	zuò dōng	to act as host
作废	zuò fèi	to become invalid, to cancel, to delete
作风	zuò fēng	style, attitude, way of work
作息	zuò xī	to work and rest
左右	zuǒ yòu	about, approximately, around
座右铭	zuò yòu míng	motto, maxim
做主	zuò zhǔ	to decide, to take charge of, to support
